symbol,company_name
20MICRONS,20 Microns Limited
21STCENMGM,21st Century Management Services Limited
MSCI360,360 ONE Mutual Fund
360ONE,360 ONE WAM LIMITED
3BBLACKBIO,3B Blackbio Dx Limited
3BFILMS,3B FILMS LIMITED
3CIT,3C IT Solutions and Telecoms (India) Limited
3IINFOLTD,3i Infotech Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Limited
5PAISA,5Paisa Capital Limited
63MOONS,63 moons technologies limited
7NR,7NR Retail Limited
7SEASL,7SEAS ENTERTAINMENT LIMITED
ABCOTS,A B Cotspin India Limited
ABINFRA,A B Infrabuild Limited
A1L,A-1 LIMITED
ADSDIAG,A.D.S. Diagnostics Ltd.
AFEL,A.F. Enterprises Limited
A2ZINFRA,A2Z Infra Engineering Limited
AAPLUSTRAD,AA Plus Tradelink Limited
AAATECH,AAA Technologies Limited
AADHARHFC,Aadhar Housing Finance Limited
AADIIND,Aadi Industries Ltd
AAKASH,Aakash Exploration Services Limited
AANCHALISP,Aanchal Ispat Limited
AARSHYAM,Aar Shyam India Investment Company Limited
AARCON,AARCON FACILITIES LIMITED
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARNAV,Aarnav Fashions Limited
AARON,Aaron Industries Limited
AARTECH,Aartech Solonics Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARTISURF,Aarti Surfactants Limited
AARVI,Aarvi Encon Limited
AASHKA,Aashka Hospitals Limited
AASTAFIN,Aastamangalam Finance Limited
AAVAS,Aavas Financiers Limited
AAYUSHBULL,AAYUSH ART AND BULLION LIMITED
AAYUSH,AAYUSH WELLNESS LIMITED
ABANSENT,Abans Enterprises Limited
AFSL,Abans Financial Services Limited
ABATEAS,ABATE AS INDUSTRIES LIMITED
ABB,ABB India Limited
ABBOTINDIA,Abbott India Limited
ABCINDQ,ABC India Ltd.
ABHICAP,Abhinav Capital Services Limited
ALFL,Abhinav Leasing & Finance Limited
ABHIFIN,Abhishek Finlease limited
ABHIINFRA,Abhishek Infraventures Limited
ABIRAFN,Abirami Financial Services (India)
ABMINTLLTD,ABM International Limited
ABMKNO,ABM Knowledgeware Limited
ABRFL,Abram Food Limited
ABRIL,ABRIL PAPER TECH LIMITED
ACC,ACC Limited
ACCEDERE,ACCEDERE LIMITED
ACCEL,ACCEL LIMITED
ACCELERATE,ACCELERATEBS INDIA LIMITED
ACCELYA,Accelya Solutions India Limited
ACCORDTS,ACCORD TRANSFORMER & SWITCHGEAR LIMITED
ANL,Accretion Nutraveda Limited
ACCURACY,Accuracy Shipping Limited
ACEALPHA,Ace Alpha Tech Limited
